	organism	tem_range
110	Bacillus sp.	thermophilic
111	Bacillus sp.	thermophilic
112	Bacillus sp.	thermophilic
113	Bacillus sp.	thermophilic
114	Bacillus sp.	thermophilic
115	Bacillus thermocloacae Demharter and Hensel 1989	thermophilic
116	Bacillus infernus Boone et al. 1995	thermophilic
117	Bacillus infernus Boone et al. 1995	thermophilic
118	Bacillus thermoamylovorans Combet-Blanc et al. 1995 emend. Coorevits et al. 2011	thermophilic
119	Bacillus thermoamylovorans Combet-Blanc et al. 1995 emend. Coorevits et al. 2011	thermophilic
120	Bacillus thermoterrestis	thermophilic
121	Bacillus okuhidensis Li et al. 2002	thermophilic
122	Bacillus okuhidensis Li et al. 2002	thermophilic
123	Bacillus subterraneus Kanso et al. 2002	thermophilic
124	Fictibacillus gelatini (De Clerck et al. 2004) Glaeser et al. 2013	thermophilic
125	Bacillus methanolicus Arfman et al. 1992	thermophilic
126	Bacillus fumarioli Logan et al. 2000	thermophilic
127	Bacillus selenatarsenatis Yamamura et al. 2007	thermophilic
128	Bacillus alveayuensis Bae et al. 2005	thermophilic
129	Bacillus thermolactis Coorevits et al. 2011	thermophilic
130	Caldibacillus debilis (Banat et al. 2004) Coorevits et al. 2012	thermophilic
131	Saccharococcus thermophilus Nystrand 1984	thermophilic
132	Ureibacillus thermosphaericus (Andersson et al. 1996) Fortina et al. 2001	thermophilic
133	Ureibacillus thermosphaericus (Andersson et al. 1996) Fortina et al. 2001	thermophilic
134	Ureibacillus terrenus Fortina et al. 2001	thermophilic
135	Ureibacillus terrenus Fortina et al. 2001	thermophilic
136	Ureibacillus suwonensis Kim et al. 2006	thermophilic
137	Ureibacillus suwonensis Kim et al. 2006	thermophilic
138	Ureibacillus composti Weon et al. 2007	thermophilic
139	Ureibacillus thermophilus Weon et al. 2007	thermophilic
140	Vulcanibacillus modesticaldus L'Haridon et al. 2006	thermophilic
141	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
142	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
143	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
144	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
145	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
146	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
147	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
148	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
149	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
150	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
151	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
152	Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
153	Geobacillus thermocatenulatus (Golovacheva 1991) Nazina et al. 2001 emend. Dinsdale et al. 2011	thermophilic
154	Geobacillus thermocatenulatus (Golovacheva 1991) Nazina et al. 2001 emend. Dinsdale et al. 2011	thermophilic
155	Geobacillus thermodenitrificans  subsp. thermodenitrificans (Manachini et al. 2000) Cihan et al. 2011	thermophilic
156	Geobacillus thermodenitrificans  subsp. thermodenitrificans (Manachini et al. 2000) Cihan et al. 2011	thermophilic
157	Geobacillus thermodenitrificans  subsp. thermodenitrificans (Manachini et al. 2000) Cihan et al. 2011	thermophilic
158	Geobacillus thermodenitrificans  subsp. thermodenitrificans (Manachini et al. 2000) Cihan et al. 2011	thermophilic
159	Geobacillus thermodenitrificans  subsp. thermodenitrificans (Manachini et al. 2000) Cihan et al. 2011	thermophilic
160	Geobacillus thermodenitrificans  subsp. thermodenitrificans (Manachini et al. 2000) Cihan et al. 2011	thermophilic
161	Geobacillus thermoglucosidasius (Suzuki et al. 1984) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
162	Geobacillus thermoglucosidasius (Suzuki et al. 1984) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
163	Geobacillus thermoglucosidasius (Suzuki et al. 1984) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
164	Geobacillus thermoleovorans (Zarilla and Perry 1988) Nazina et al. 2001 emend. Dinsdale et al. 2011	thermophilic
165	Geobacillus thermoleovorans (Zarilla and Perry 1988) Nazina et al. 2001 emend. Dinsdale et al. 2011	thermophilic
166	Geobacillus thermoleovorans (Zarilla and Perry 1988) Nazina et al. 2001 emend. Dinsdale et al. 2011	thermophilic
167	Geobacillus thermoleovorans (Zarilla and Perry 1988) Nazina et al. 2001 emend. Dinsdale et al. 2011	thermophilic
168	Geobacillus kaustophilus (Priest et al. 1989) Nazina et al. 2001	thermophilic
169	Geobacillus thermantarcticus (Nicolaus et al. 2002) Coorevits et al. 2012	thermophilic
170	Geobacillus vulcani (Caccamo et al. 2000) Nazina et al. 2004	thermophilic
171	Geobacillus caldoxylosilyticus (Ahmad et al. 2000) Fortina et al. 2001	thermophilic
172	Geobacillus caldoxylosilyticus (Ahmad et al. 2000) Fortina et al. 2001	thermophilic
173	Geobacillus sp.	thermophilic
174	Geobacillus thermoglucosidasius (Suzuki et al. 1984) Nazina et al. 2001 emend. Coorevits et al. 2012	thermophilic
175	Geobacillus sp.	thermophilic
176	Geobacillus sp.	thermophilic
177	Geobacillus uzenensis Nazina et al. 2001	thermophilic
