	organism	tem_range
17890	Methylopila oligotropha Poroshina et al. 2014	mesophilic
17891	Agromyces marinus Hamada et al. 2015	mesophilic
17892	Curtobacterium flaccumfaciens (Hedges 1922) Collins and Jones 1984	mesophilic
17893	Curtobacterium sp.	mesophilic
17894	Curtobacterium sp.	mesophilic
17895	Frigoribacterium endophyticum Wang et al. 2015	mesophilic
17896	Leucobacter sp.  et al. 2015	mesophilic
17897	Microbacterium sp.	mesophilic
17898	Microbacterium sp.	mesophilic
17899	Microbacterium mangrovi Lee et al. 2014	mesophilic
17900	Microbacterium endophyticum Alves et al. 2015	mesophilic
17901	Microbacterium halimionae Alves et al. 2015	mesophilic
17902	Microbacterium shaanxiense Peng et al. 2015	mesophilic
17903	Microbacterium proteolyticum Alves et al. 2015	mesophilic
17904	Labedella endophytica Wang et al. 2015	mesophilic
17905	Gryllotalpicola soli Moon et al. 2014	mesophilic
17906	Arthrobacter sp.	mesophilic
17907	Pseudarthrobacter niigatensis (Ding et al. 2009) Busse 2016	mesophilic
17908	Paeniglutamicibacter antarcticus (Pindi et al. 2010) Busse 2016	mesophilic
17909	Arthrobacter pityocampae Ince et al. 2014	mesophilic
17910	Arthrobacter enclensis Dastager et al. 2015	mesophilic
17911	Kocuria palustris Kov&aacute;cs et al. 1999	mesophilic
17912	Kocuria rhizophila Kov&aacute;cs et al. 1999	mesophilic
17913	Kocuria sp.	mesophilic
17914	Kocuria marina Kim et al. 2004	mesophilic
17915	Kocuria marina Kim et al. 2004	mesophilic
17916	Kocuria marina Kim et al. 2004	mesophilic
17917	Micrococcus luteus (Schroeter 1872) Cohn 1872 emend. Wieser et al. 2002	mesophilic
17918	Micrococcus luteus (Schroeter 1872) Cohn 1872 emend. Wieser et al. 2002	mesophilic
17919	Micrococcus luteus (Schroeter 1872) Cohn 1872 emend. Wieser et al. 2002	mesophilic
17920	Micrococcus luteus (Schroeter 1872) Cohn 1872 emend. Wieser et al. 2002	mesophilic
17921	Micrococcus aloeverae Prakash et al. 2014	mesophilic
17922	Nesterenkonia massiliensis Edouard et al. 2014	mesophilic
17923	Nesterenkonia populi Liu et al. 2015	mesophilic
17924	Sinomonas humi Lee et al. 2015	mesophilic
17925	Sinomonas susongensis Bao et al. 2015	mesophilic
17926	Garicola koreensis Lo et al. 2015	mesophilic
17927	Actinoplanes siamensis Suriyachadkun et al. 2013	mesophilic
17928	Catellatospora aurea	mesophilic
17929	Dactylosporangium cerinum Liu et al. 2015	mesophilic
17930	Micromonospora sp.	mesophilic
17931	Micromonospora taraxaci Zhao et al. 2014	mesophilic
17932	Verrucosispora fiedleri Goodfellow et al. 2013	mesophilic
17933	Plantactinospora veratri Xing et al. 2015	mesophilic
17934	Acinetobacter sp.	mesophilic
17935	Acinetobacter boissieri &Aacute;lvarez-P&eacute;rez et al. 2013	mesophilic
17936	Acinetobacter nectaris &Aacute;lvarez-P&eacute;rez et al. 2013	mesophilic
17937	Acinetobacter harbinensis Li et al. 2014	mesophilic
17938	Acinetobacter gandensis Smet et al. 2014	mesophilic
17939	Acinetobacter gandensis Smet et al. 2014	mesophilic
17940	Acinetobacter gandensis Smet et al. 2014	mesophilic
17941	Acinetobacter bohemicus Krizova et al. 2015	mesophilic
17942	Enhydrobacter aerosaccus Staley et al. 1987	mesophilic
17943	Psychrobacter sanguinis Wirth et al. 2012	mesophilic
17944	Psychrobacter sanguinis Wirth et al. 2012	mesophilic
17945	Psychrobacter sanguinis Wirth et al. 2012	mesophilic
17946	Psychrobacter sanguinis Wirth et al. 2012	mesophilic
17947	Psychrobacter ciconiae K&auml;mpfer et al. 2015	mesophilic
17948	Paraperlucidibaca wandonensis Yoon et al. 2013	mesophilic
17949	Faucicola mancuniensis Humphreys et al. 2015	mesophilic
17950	Mycobacterium sp.	mesophilic
17951	Mycobacterium paraense da Costa et al. 2015	mesophilic
17952	Mycobacterium celeriflavum Shahraki et al. 2015	mesophilic
17953	Aggregicoccus edonensis Sood et al. 2015	mesophilic
17954	Uruburuella testudinis Kuhnert et al. 2015	mesophilic
17955	Rivicola pingtungensis Sheu et al. 2014	mesophilic
17956	Nitrosomonas europaea Winogradsky 1892	mesophilic
17957	Nocardia vulneris Lasker et al. 2014	mesophilic
17958	Nocardia casuarinae Ghodhbane-Gtari et al. 2015	mesophilic
17959	Rhodococcus hoagii (Morse 1912) K&auml;mpfer et al. 2014	mesophilic
17960	Rhodococcus hoagii (Morse 1912) K&auml;mpfer et al. 2014	mesophilic
17961	Rhodococcus hoagii (Morse 1912) K&auml;mpfer et al. 2014	mesophilic
17962	Rhodococcus hoagii (Morse 1912) K&auml;mpfer et al. 2014	mesophilic
17963	Rhodococcus hoagii (Morse 1912) K&auml;mpfer et al. 2014	mesophilic
17964	Rhodococcus erythropolis (Gray and Thornton 1928) Goodfellow and Alderson 1979	mesophilic
17965	Rhodococcus ruber (Kruse 1896) Goodfellow and Alderson 1977	mesophilic
17966	Rhodococcus ruber (Kruse 1896) Goodfellow and Alderson 1977	mesophilic
17967	Rhodococcus ruber (Kruse 1896) Goodfellow and Alderson 1977	mesophilic
17968	Rhodococcus sp.	mesophilic
17969	Rhodococcus sp.	mesophilic
17970	Rhodococcus qingshengii Xu et al. 2007	mesophilic
17971	Rhodococcus soli Li et al. 2015	mesophilic
17972	Marmoricola solisilvae Kim et al. 2015	mesophilic
17973	Marmoricola terrae Kim et al. 2015	mesophilic
17974	Nocardioides sp.	mesophilic
17975	Nocardioides rubriscoriae Lee and Lee 2014	mesophilic
17976	Nocardioides daecheongensis Lim et al. 2014	mesophilic
17977	Nocardioides deserti Tuo et al. 2015	mesophilic
17978	Nocardiopsis sp.	mesophilic
17979	Nocardiopsis algeriensis Bouras et al. 2015	mesophilic
17980	Streptomonospora algeriensis Meklat et al. 2014	mesophilic
17981	Allosalinactinospora lopnorensis Guo et al. 2015	mesophilic
17982	Reinekea blandensis Pinhassi et al. 2007	mesophilic
17983	Reinekea aestuarii Choi and Cho 2010	mesophilic
17984	Sinobacterium caligoides Su et al. 2013	mesophilic
17985	Collimonas sp.	mesophilic
17986	Massilia sp.	mesophilic
17987	Telluria mixta (Bowman et al. 1989) Bowman et al. 1993	mesophilic
17988	Undibacterium seohonense Kim et al. 2014	mesophilic
17989	Undibacterium macrobrachii Sheu et al. 2014	mesophilic
17990	Glaciimonas singularis Chung et al. 2013	mesophilic
17991	Cohnella nanjingensis Huang et al. 2014	mesophilic
17992	Paenibacillus glucanolyticus (Alexander and Priest 1989) Shida et al. 1997	mesophilic
17993	Paenibacillus senegalensis Mishra et al. 2015	mesophilic
17994	Paenibacillus sp.	mesophilic
17995	Paenibacillus sp.	mesophilic
17996	Paenibacillus gorillae Keita et al. 2014	mesophilic
17997	Paenibacillus abyssi Huang et al. 2015	mesophilic
17998	Gorillibacterium massiliense Keita et al. 2014	mesophilic
17999	Frederiksenia canicola Korczak et al. 2014	mesophilic
18000	Vespertiliibacter pulmonis M&uuml;hldorfer et al. 2014	mesophilic
18001	Mesocricetibacter intestinalis Christensen et al. 2014	mesophilic
18002	Cricetibacter osteomyelitidis Christensen et al. 2014	mesophilic
18003	Desulfosporosinus acididurans S&aacute;nchez-Andrea et al. 2015	mesophilic
18004	Aquamicrobium terrae Wu et al. 2014	mesophilic
18005	Pseudaminobacter sp.	mesophilic
18006	Mesorhizobium robiniae Zhou et al. 2010	mesophilic
18007	Mesorhizobium camelthorni Chen et al. 2011	mesophilic
18008	Mesorhizobium silamurunense Zhao et al. 2012	mesophilic
18009	Mesorhizobium muleiense Zhang et al. 2012	mesophilic
18010	Mesorhizobium hawassense Degefu et al. 2013	mesophilic
18011	Mesorhizobium qingshengii Zheng et al. 2013	mesophilic
18012	Mesorhizobium sangaii Zhou et al. 2013	mesophilic
18013	Rhodopirellula rosea Roh et al. 2014	mesophilic
18014	Rhodopirellula lusitana Bondoso et al. 2014	mesophilic
18015	Rhodopirellula rubra Bondoso et al. 2014	mesophilic
18016	Kurthia senegalensis Roux et al. 2014	mesophilic
18017	Kurthia senegalensis Roux et al. 2014	mesophilic
18018	Planomicrobium sp.	mesophilic
18019	Sporosarcina siberiensis Zhang et al. 2014	mesophilic
18020	Dysgonomonas macrotermitis Yang et al. 2014	mesophilic
18021	Microbacter margulisiae S&aacute;nchez-Andrea et al. 2014	mesophilic
18022	Myceligenerans cantabricum Sarmiento-Vizca&iacute;no et al. 2015	mesophilic
18023	Acidipropionibacterium olivae (Lucena-Padr&oacute;s et al. 2014) Scholz and Kilian 2016	mesophilic
18024	Tessaracoccus lapidicaptus Puente-S&aacute;nchez et al. 2014	mesophilic
18025	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18026	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18027	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18028	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18029	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18030	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18031	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18032	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18033	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18034	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18035	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18036	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18037	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18038	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18039	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18040	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18041	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18042	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18043	Pseudomonas aeruginosa (Schroeter 1872) Migula 1900	mesophilic
18044	Pseudomonas putida (Trevisan 1889) Migula 1895	mesophilic
18045	Pseudomonas asuensis Reddy and Garcia-Pichel 2015	mesophilic
18046	Pseudomonas sp.	mesophilic
18047	Pseudomonas sp.	mesophilic
18048	Pseudomonas syringae van Hall 1902	mesophilic
18049	Pseudomonas balearica Bennasar et al. 1996	mesophilic
18050	Pseudomonas asturiensis Gonz&aacute;lez et al. 2013	mesophilic
18051	Pseudomonas guangdongensis Yang et al. 2013	mesophilic
18052	Pseudomonas helmanticensis Ram&iacute;rez-Bahena et al. 2014	mesophilic
18053	Pseudomonas granadensis Pascual et al. 2015	mesophilic
18054	Pseudomonas yamanorum Arnau et al. 2015	mesophilic
18055	Pseudomonas zhaodongensis Zhang et al. 2015	mesophilic
18056	Pseudomonas soli Pascual et al. 2015	mesophilic
18057	Pseudomonas yangmingensis	mesophilic
18058	Thiopseudomonas denitrificans Tan et al. 2015	mesophilic
18059	Actinoalloteichus hoggarensis Boudjelal et al. 2015	mesophilic
18060	Actinokineospora mzabensis Aouiche et al. 2015	mesophilic
18061	Actinokineospora spheciospongiae K&auml;mpfer et al. 2015	mesophilic
18062	Amycolatopsis roodepoortensis Everest et al. 2015	mesophilic
18063	Amycolatopsis speibonae Everest et al. 2015	mesophilic
18064	Prauserella coralliicola Wu et al. 2014	mesophilic
18065	Prauserella isguenensis Saker et al. 2015	mesophilic
18066	Saccharopolyspora halotolerans Lv et al. 2014	mesophilic
18067	Saccharothrix carnea Liu et al. 2014	mesophilic
18068	Saccharothrix tamanrassetensis Boubetra et al. 2015	mesophilic
18069	Actinomycetospora rhizophila He et al. 2015	mesophilic
18070	Kaistia sp.	mesophilic
18071	Rhizobium sp.	mesophilic
18072	Rhizobium endophyticum L&oacute;pez-L&oacute;pez  et al. 2011	mesophilic
18073	Rhizobium taibaishanense Yao et al. 2012	mesophilic
18074	Agrobacterium nepotum (Pulawska et al. 2012) Mousavi et al. 2016	mesophilic
18075	Rhizobium paknamense Kittiwongwattana and Thawai 2013	mesophilic
18076	Rhizobium laguerreae Sa&iuml;di et al. 2014	mesophilic
18077	Rhizobium rhizoryzae Zhang et al. 2014	mesophilic
18078	Citreicella sp.	mesophilic
18079	Gemmobacter intermedius K&auml;mpfer et al. 2015	mesophilic
18080	Jannaschia sp.	mesophilic
18081	Jannaschia faecimaris Jung and Yoon 2014	mesophilic
18082	Loktanella rosea Ivanova et al. 2005	mesophilic
18083	Loktanella litorea Yoon et al. 2013	mesophilic
18084	Loktanella cinnabarina Tsubouchi et al. 2013	mesophilic
18085	Loktanella sediminilitoris Park et al. 2013	mesophilic
18086	Loktanella soesokkakensis Park et al. 2014	mesophilic
18087	Marinovum algicola (Lafay et al. 1995) Martens et al. 2006	mesophilic
18088	Pseudooceanicola marinus (Lin et al. 2007) Lai et al. 2015	mesophilic
18089	Pseudooceanicola nitratireducens (Zheng et al. 2010) Lai et al. 2015	mesophilic
18090	Oceanicola litoreus Park et al. 2013	mesophilic
18091	Paracoccus sp.	mesophilic
18092	Paracoccus sp.	mesophilic
18093	Paracoccus sp.	mesophilic
18094	Paracoccus yeei Daneshvar et al. 2003	mesophilic
18095	Roseivivax lentus Park et al. 2010	mesophilic
18096	Roseovarius sp.	mesophilic
18097	Roseovarius aestuarii Yoon et al. 2008	mesophilic
18098	Roseovarius pacificus Wang et al. 2009	mesophilic
18099	Roseovarius halotolerans Oh et al. 2009	mesophilic
18100	Roseovarius nanhaiticus Wang et al. 2010	mesophilic
18101	Aliiroseovarius sediminilitoris (Park and Yoon 2013) Park et al. 2015	mesophilic
18102	Roseovarius marisflavi Li et al. 2014	mesophilic
18103	Ruegeria intermedia K&auml;mpfer et al. 2013	mesophilic
18104	Sulfitobacter porphyrae Fukui et al. 2014	mesophilic
18105	Sulfitobacter pseudonitzschiae Hong et al. 2015	mesophilic
18106	Thioclava dalianensis Zhang et al. 2013	mesophilic
18107	Pseudoruegeria haliotis Hyun et al. 2013	mesophilic
18108	Maritimibacter alkaliphilus Lee et al. 2007	mesophilic
18109	Tropicimonas sediminicola Shin et al. 2012	mesophilic
18110	Tropicibacter litoreus Lucena et al. 2014	mesophilic
18111	Tropicibacter mediterraneus Lucena et al. 2014	mesophilic
18112	Ponticoccus gilvus  et al. 2015	mesophilic
18113	Lutimaribacter pacificus (Yuan et al. 2009) Iwaki et al. 2013	mesophilic
18114	Lutimaribacter litoralis Iwaki et al. 2013	mesophilic
18115	Marivita hallyeonensis Yoon et al. 2012	mesophilic
18116	Marivita geojedonensis Yoon et al. 2013	mesophilic
18117	Celeribacter marinus Baek et al. 2014	mesophilic
18118	Celeribacter indicus Lai et al. 2014	mesophilic
18119	Litoreibacter meonggei Kim et al. 2012	mesophilic
18120	Litoreibacter halocynthiae Kim et al. 2013	mesophilic
18121	Litoreibacter ascidiaceicola Kim et al. 2014	mesophilic
18122	Defluviimonas indica Jiang et al. 2014	mesophilic
18123	Cribrihabitans marinus Chen et al. 2014	mesophilic
18124	Halocynthiibacter namhaensis Kim et al. 2014	mesophilic
18125	Azoarcus olearius Chen et al. 2013	mesophilic
18126	Thauera sp.	mesophilic
18127	Thauera sp.	mesophilic
18128	Thauera humireducens Yang et al. 2013	mesophilic
18129	Zoogloea oleivorans Farkas et al. 2015	mesophilic
18130	Alistipes senegalensis Mishra et al. 2012	mesophilic
18131	Sphingobacterium yanglingense Peng et al. 2014	mesophilic
18132	Mucilaginibacter auburnensis K&auml;mpfer et al. 2014	mesophilic
18133	Parapedobacter indicus Kumar et al. 2015	mesophilic
18134	Novosphingobium kunmingense Xie et al. 2014	mesophilic
18135	Novosphingobium chloroacetimidivorans Chen et al. 2014	mesophilic
18136	Novosphingobium rhizosphaerae K&auml;mpfer et al. 2015	mesophilic
18137	Novosphingobium fluoreni Gao et al. 2015	mesophilic
18138	Sphingobium barthaii Maeda et al. 2015	mesophilic
18139	Sphingobium cupriresistens Li et al. 2013	mesophilic
18140	Sphingobium fontiphilum Sheu et al. 2013	mesophilic
18141	Sphingobium sufflavum Sheu et al. 2013	mesophilic
18142	Sphingomonas sp.	mesophilic
18143	Sphingomonas sp.	mesophilic
18144	Sphingomonas leidyi (Poindexter 1964) Chen et al. 2012	mesophilic
18145	Sphingomonas canadensis Abraham et al. 2013	mesophilic
18146	Sphingomonas aerophila Kim et al. 2014	mesophilic
18147	Sphingomonas naasensis Kim et al. 2014	mesophilic
18148	Sphingomonas daechungensis Huy et al. 2014	mesophilic
18149	Sphingomonas gimensis Feng et al. 2014	mesophilic
18150	Sphingopyxis sp.	mesophilic
18151	Sphingopyxis sp.	mesophilic
18152	Sphingopyxis sp.	mesophilic
18153	Sphingorhabdus wooponensis (Baik et al. 2013) Park et al. 2014	mesophilic
18154	Sphingorhabdus arenilitoris Park et al. 2014	mesophilic
18155	Salinispira pacifica Ben Hania et al. 2015	mesophilic
18156	Staphylococcus capitis  subsp. capitis Kloos and Schleifer 1975	mesophilic
18157	Staphylococcus capitis  subsp. capitis Kloos and Schleifer 1975	mesophilic
18158	Staphylococcus epidermidis (Winslow and Winslow 1908) Evans 1916	mesophilic
18159	Staphylococcus lugdunensis Freney et al. 1988	mesophilic
18160	Staphylococcus lugdunensis Freney et al. 1988	mesophilic
18161	Staphylococcus warneri Kloos and Schleifer 1975	mesophilic
18162	Staphylococcus warneri Kloos and Schleifer 1975	mesophilic
18163	Staphylococcus warneri Kloos and Schleifer 1975	mesophilic
18164	Staphylococcus warneri Kloos and Schleifer 1975	mesophilic
18165	Staphylococcus aureus Rosenbach 1884	mesophilic
18166	Staphylococcus cohnii Schleifer and Kloos 1975	mesophilic
18167	Staphylococcus hominis  subsp. hominis Kloos and Schleifer 1975 emend. Kloos et al. 1998	mesophilic
18168	Staphylococcus hominis  subsp. hominis Kloos and Schleifer 1975 emend. Kloos et al. 1998	mesophilic
18169	Staphylococcus hominis  subsp. hominis Kloos and Schleifer 1975 emend. Kloos et al. 1998	mesophilic
18170	Staphylococcus hominis  subsp. hominis Kloos and Schleifer 1975 emend. Kloos et al. 1998	mesophilic
18171	Staphylococcus hominis  subsp. hominis Kloos and Schleifer 1975 emend. Kloos et al. 1998	mesophilic
18172	Staphylococcus argenteus Tong et al. 2015	mesophilic
18173	Staphylococcus schweitzeri Tong et al. 2015	mesophilic
18174	Streptococcus loxodontisalivarius Saito et al. 2014	mesophilic
18175	Streptococcus saliviloxodontae Saito et al. 2014	mesophilic
18176	Streptococcus oriloxodontae Shinozaki-Kuwahara et al. 2014	mesophilic
18177	Streptococcus parasuis Nomoto et al. 2015	mesophilic
18178	Streptomyces cyslabdanicus Tak&eacute; et al. 2015	mesophilic
18179	Streptomyces lactacystinicus Tak&eacute; et al. 2017	mesophilic
18180	Streptomyces sp.	mesophilic
18181	Streptomyces sp.	mesophilic
18182	Streptomyces sp.	mesophilic
18183	Streptomyces sp.	mesophilic
18184	Streptomyces baliensis Otoguro et al. 2009	mesophilic
18185	Streptomyces halophytocola Qin et al. 2013	mesophilic
18186	Streptomyces leeuwenhoekii Busarakam et al. 2014	mesophilic
18187	Streptomyces iconiensis Tatar et al. 2014	mesophilic
18188	Streptomyces smyrnaeus Tatar et al. 2014	mesophilic
18189	Streptomyces lunaelactis Maciejewska et al. 2015	mesophilic
18190	Streptomyces seymenliensis Tatar and Sahin 2015	mesophilic
18191	Streptomyces klenkii Veyisoglu and Sahin 2015	mesophilic
18192	Streptomyces ferrugineus	mesophilic
18193	Streptomyces vulcanius	mesophilic
18194	Streptomyces fractus Rohland and Meyers 2015	mesophilic
18195	Streptomyces maoxianensis Guan et al. 2015	mesophilic
18196	Streptomyces alkaliphilus Akhwale et al. 2015	mesophilic
18197	Microbispora bryophytorum Li et al. 2015	mesophilic
18198	Planobispora takensis Ngaemthao et al. 2014	mesophilic
18199	Streptosporangium sp.	mesophilic
18200	Streptosporangium sp.	mesophilic
18201	Streptosporangium sp.	mesophilic
18202	Sphaerisporangium rufum Mingma et al. 2014	mesophilic
18203	Sphaerisporangium dianthi	mesophilic
18204	Actinomadura darangshiensis Lee and Kim 2015	mesophilic
18205	Megasphaera indica Lanjekar et al. 2014	mesophilic
18206	Megasphaera indica Lanjekar et al. 2014	mesophilic
18207	Propionispira arcuata Ueki et al. 2014	mesophilic
18208	Sporomusa sp.	mesophilic
18209	Sporomusa sp.	mesophilic
18210	Photobacterium jeanii Chimetto et al. 2010	mesophilic
18211	Photobacterium sanctipauli Moreira et al. 2015	mesophilic
18212	Vibrio alginolyticus (Miyamoto et al. 1961) Sakazaki 1968	mesophilic
18213	Vibrio sp.	mesophilic
18214	Vibrio sp.	mesophilic
18215	Vibrio sp.	mesophilic
18216	Vibrio sp.	mesophilic
18217	Vibrio sp.	mesophilic
18218	Vibrio sp.	mesophilic
18219	Vibrio sp.	mesophilic
18220	Vibrio sp.	mesophilic
18221	Vibrio sp.	mesophilic
18222	Vibrio sp.	mesophilic
18223	Vibrio cyclitrophicus Hedlund and Staley 2001	mesophilic
18224	Vibrio cholerae Pacini 1854	mesophilic
18225	Vibrio rhizosphaerae Ramesh Kumar and Nair 2007	mesophilic
18226	Vibrio hangzhouensis Xu et al. 2009	mesophilic
18227	Vibrio madracius Moreira et al. 2014	mesophilic
18228	Vibrio jasicida Yoshizawa et al. 2012	mesophilic
18229	Vibrio olivae Lucena-Padr&oacute;s et al. 2015	mesophilic
18230	Arenimonas subflava Makk et al. 2015	mesophilic
18231	Luteimonas vadosa Romanenko et al. 2013	mesophilic
18232	Lysobacter sp.	mesophilic
18233	Lysobacter sp.	mesophilic
18234	Lysobacter capsici Park et al. 2008	mesophilic
18235	Lysobacter capsici Park et al. 2008	mesophilic
18236	Lysobacter capsici Park et al. 2008	mesophilic
18237	Lysobacter mobilis Yang et al. 2015	mesophilic
18238	Pseudoxanthomonas sp.	mesophilic
18239	Pseudoxanthomonas wuyuanensis Li et al. 2014	mesophilic
18240	Wohlfahrtiimonas larvae Lee et al. 2014	mesophilic
18241	unclassified bacterium	mesophilic
18242	unclassified bacterium	mesophilic
18243	unclassified bacterium	mesophilic
18244	unclassified bacterium	mesophilic
18245	unclassified bacterium	mesophilic
18246	unclassified bacterium	mesophilic
18247	unclassified bacterium	mesophilic
18248	unclassified bacterium	mesophilic
18249	unclassified bacterium	mesophilic
18250	Aetherobacter rufus Garcia et al. 2016	mesophilic
18251	unclassified bacterium	mesophilic
18252	Prauserella soli Almutairi 2015	mesophilic
18253	unclassified	mesophilic
18254	Baia soyae Guan et al. 2015	mesophilic
18255	Leisingera aquaemixtae (Park et al. 2014) Breider et al. 2014	mesophilic
18256	Prauserella endophytica Liu et al. 2015	mesophilic
18257	Marinactinospora endophytica Liu et al. 2015	mesophilic
18258	Alkanibacter difficilis Friedrich and Lipski 2008	mesophilic
18259	Povalibacter uvarum Nogi et al. 2014	mesophilic
18260	Actinopolyspora biskrensis Saker et al. 2015	mesophilic
18261	Parafilimonas terrae Kim et al. 2014	mesophilic
18262	Aminobacterium thunnarium Hamdi et al. 2015	mesophilic
18263	Streptobacillus hongkongensis Woo et al. 2014	mesophilic
18264	Devosia enhydra (Staley 1968) Park et al. 2016	mesophilic
18265	Pseudochelatococcus lubricantis K&auml;mpfer et al. 2015	mesophilic
18266	Pseudochelatococcus contaminans K&auml;mpfer et al. 2015	mesophilic
18267	Simiduia litorea Tanaka et al. 2014	mesophilic
18268	Gallaecimonas xiamenensis Wang et al. 2013	mesophilic
18269	Gallaecimonas sp.	mesophilic
18270	Thiolapillus brandeum Nunoura et al. 2015	mesophilic
18271	Fusibacter bizertensis Smii et al. 2015	mesophilic
18272	Ezakiella peruensis Patel et al. 2015	mesophilic
18273	Exiguobacterium enclense Dastager et al. 2015	mesophilic
18274	Sulfurovum aggregans Mino et al. 2014	mesophilic
18275	Minicystis rosea Garcia et al. 2014	mesophilic
18276	Vogesella alkaliphila Subhash et al. 2013	mesophilic
18277	Paludibacterium paludis Sheu et al. 2014	mesophilic
18278	Atopobium deltae Cools et al. 2014	mesophilic
18279	Olsenella scatoligenes Li et al. 2015	mesophilic
18280	Mariniphaga anaerophila Iino et al. 2014	mesophilic
18281	Tangfeifania diversioriginum Liu et al. 2014	mesophilic
18282	Roseiarcus fermentans Kulichevskaya et al. 2014	mesophilic
18283	Anaerococcus provenciensis Pagnier et al. 2014	mesophilic
18284	Peptoniphilus stercorisuis Johnson et al. 2014	mesophilic
18285	Vulgatibacter incomptus Yamamoto et al. 2014	mesophilic
18286	Labilithrix luteola Yamamoto et al. 2014	mesophilic
18287	Chitinivibrio alkaliphilus Sorokin et al. 2014	mesophilic
18288	Chitinivibrio alkaliphilus Sorokin et al. 2014	mesophilic
18289	Arenicella chitinivorans Nedashkovskaya et al. 2013	mesophilic
18290	Thorsellia kenyensis K&auml;mpfer et al. 2015	mesophilic
18291	Thorsellia kandunguensis K&auml;mpfer et al. 2015	mesophilic
18292	Natrialba hulunbeirensis Xu et al. 2001	mesophilic
18293	Natrialba chahannaoensis Xu et al. 2001	mesophilic
18294	Natrialba sp.	mesophilic
18295	Dyella kyungheensis Son et al. 2013	mesophilic
18296	Fulvimonas yonginensis Ahn et al. 2014	mesophilic
18297	Rhodanobacter caeni Woo et al. 2012	mesophilic
18298	Sulfuriferula multivorans Watanabe et al. 2015	mesophilic
18299	Variovorax gossypii K&auml;mpfer et al. 2015	mesophilic
18300	Acetobacter sp.	mesophilic
18301	Acidovorax sp.	mesophilic
18302	Acidovorax sp.	mesophilic
18303	Acidovorax sp.	mesophilic
18304	Acidovorax sp.	mesophilic
18305	Acidovorax sp.	mesophilic
18306	Acidovorax sp.	mesophilic
18307	Acidovorax sp.	mesophilic
18308	Acidovorax sp.	mesophilic
18309	Acidovorax sp.	mesophilic
18310	Acidovorax sp.	mesophilic
18311	Acidovorax sp.	mesophilic
18312	Acidovorax sp.	mesophilic
18313	Acidovorax sp.	mesophilic
18314	Acinetobacter baumannii Bouvet and Grimont 1986	mesophilic
18315	Acinetobacter baumannii Bouvet and Grimont 1986	mesophilic
18316	Acinetobacter lwoffii (Audureau 1940) Brisou and Pr&eacute;vot 1954 emend. Bouvet and Grimont 1986	mesophilic
18317	Aeromicrobium sp.	mesophilic
18318	Aeromicrobium sp.	mesophilic
18319	Aeromicrobium sp.	mesophilic
18320	Aeromicrobium sp.	mesophilic
18321	Aeromicrobium sp.	mesophilic
18322	Aeromicrobium sp.	mesophilic
18323	Aeromicrobium sp.	mesophilic
18324	Aeromicrobium sp.	mesophilic
18325	Aeromicrobium sp.	mesophilic
18326	Arthrobacter sp.	mesophilic
18327	Arthrobacter sp.	mesophilic
18328	Arthrobacter sp.	mesophilic
18329	Arthrobacter sp.	mesophilic
18330	Arthrobacter sp.	mesophilic
18331	Arthrobacter sp.	mesophilic
18332	Arthrobacter sp.	mesophilic
18333	Arthrobacter sp.	mesophilic
18334	Arthrobacter sp.	mesophilic
18335	Arthrobacter sp.	mesophilic
18336	Arthrobacter sp.	mesophilic
18337	Arthrobacter sp.	mesophilic
18338	Arthrobacter sp.	mesophilic
18339	Arthrobacter sp.	mesophilic
18340	Arthrobacter sp.	mesophilic
18341	Bacillus cereus Frankland and Frankland 1887	mesophilic
18342	Bacillus cereus Frankland and Frankland 1887	mesophilic
18343	Bacillus cereus Frankland and Frankland 1887	mesophilic
18344	Bacillus cereus Frankland and Frankland 1887	mesophilic
18345	Bacteroides sp.	mesophilic
18346	Bacteroides sp.	mesophilic
18347	Bacillus licheniformis (Weigmann 1898) Chester 1901	mesophilic
18348	Bacillus megaterium de Bary 1884	mesophilic
18349	Bacillus megaterium de Bary 1884	mesophilic
18350	Bacillus pumilus Meyer and Gottheil 1901	mesophilic
18351	Bacillus pumilus Meyer and Gottheil 1901	mesophilic
